                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.63598,                0.47715,                0.95495,                0.98595,                0.95833,                0.97785,                0.83272,                0.64543,                0.48509,                 0.9028,              0.0010496,              0.0010496,              0.0010496
                     51,                0.64704,                 0.4568,                0.93968,                0.95921,                0.95833,                0.97713,                0.84492,                0.60543,                0.46094,                0.89493,              0.0010298,              0.0010298,              0.0010298
                     52,                0.61022,                0.44294,                0.93918,                0.99696,                0.95833,                0.98429,                0.84089,                0.63558,                0.45117,                0.90523,                0.00101,                0.00101,                0.00101
                     53,                 0.6152,                0.44749,                0.92651,                0.95932,                0.98255,                 0.9899,                0.85687,                0.60977,                0.42734,                 0.8944,              0.0009902,              0.0009902,              0.0009902
                     54,                0.61785,                0.42862,                0.94294,                0.98369,                0.97222,                0.99116,                0.86082,                0.63278,                 0.4412,                0.89573,              0.0009704,              0.0009704,              0.0009704
                     55,                0.61499,                0.42387,                0.94229,                0.97213,                0.96886,                 0.9923,                0.84666,                0.62535,                0.42969,                0.90499,              0.0009506,              0.0009506,              0.0009506
                     56,                0.62626,                0.42946,                0.94055,                 0.9854,                0.93753,                0.99061,                0.84799,                0.59619,                0.40469,                0.89436,              0.0009308,              0.0009308,              0.0009308
                     57,                0.62172,                 0.4216,                0.94523,                 0.9833,                0.93056,                0.98468,                0.84337,                0.58626,                0.40607,                0.89285,               0.000911,               0.000911,               0.000911
                     58,                0.61363,                0.41994,                0.94075,                 0.9799,                0.94444,                0.98582,                 0.8312,                0.61255,                0.40525,                0.89917,              0.0008912,              0.0008912,              0.0008912
                     59,                0.61608,                0.42073,                0.93323,                0.98568,                0.95596,                0.98915,                0.82302,                0.66344,                0.41501,                 0.9222,              0.0008714,              0.0008714,              0.0008714
                     60,                0.60299,                 0.3993,                0.91587,                0.97046,                0.98611,                0.99192,                0.85782,                0.60039,                0.39628,                0.88804,              0.0008516,              0.0008516,              0.0008516
                     61,                0.59022,                0.39902,                0.91754,                0.99862,                0.98611,                 0.9925,                0.84521,                0.60421,                0.41784,                 0.8965,              0.0008318,              0.0008318,              0.0008318
                     62,                0.60875,                0.39526,                0.92494,                0.99728,                0.97222,                 0.9912,                0.86227,                0.58754,                0.39182,                0.89318,               0.000812,               0.000812,               0.000812
                     63,                0.60546,                0.40326,                0.97586,                0.99807,                0.97222,                 0.9917,                0.86447,                0.57739,                0.37889,                0.89253,              0.0007922,              0.0007922,              0.0007922
                     64,                0.57511,                0.38243,                0.92714,                0.98585,                0.97222,                0.99195,                 0.8757,                 0.5836,                0.37946,                0.88598,              0.0007724,              0.0007724,              0.0007724
                     65,                0.56156,                0.37278,                0.91438,                0.99407,                0.97222,                0.99145,                0.87368,                0.54672,                0.38332,                0.87399,              0.0007526,              0.0007526,              0.0007526
                     66,                0.58317,                0.40392,                 0.9165,                0.98482,                0.97222,                0.99228,                0.86542,                0.56891,                0.37387,                0.87765,              0.0007328,              0.0007328,              0.0007328
                     67,                0.57248,                0.39448,                0.91066,                0.99066,                0.97222,                0.99269,                0.85378,                 0.6001,                0.39636,                0.88465,               0.000713,               0.000713,               0.000713
                     68,                0.53996,                0.38019,                0.91502,                0.98118,                0.97222,                0.99193,                0.84754,                 0.6134,                 0.3861,                0.89433,              0.0006932,              0.0006932,              0.0006932
                     69,                0.56491,                0.39252,                0.91456,                0.97761,                0.95833,                  0.989,                0.84075,                0.62841,                0.39983,                0.90689,              0.0006734,              0.0006734,              0.0006734
                     70,                0.56402,                0.37386,                0.91475,                0.98569,                0.95683,                0.98524,                0.85066,                0.59634,                0.40061,                0.89729,              0.0006536,              0.0006536,              0.0006536
                     71,                0.56338,                0.39198,                0.94037,                0.97133,                0.97222,                0.98619,                0.85096,                0.59161,                0.40933,                0.89054,              0.0006338,              0.0006338,              0.0006338
                     72,                0.55804,                0.37929,                0.92339,                0.98633,                0.97222,                0.98954,                0.86218,                0.56161,                0.40066,                0.88275,               0.000614,               0.000614,               0.000614
                     73,                0.58467,                0.39796,                0.93387,                0.98591,                0.97202,                0.98964,                0.85877,                0.57988,                0.39194,                0.89259,              0.0005942,              0.0005942,              0.0005942
                     74,                0.57967,                0.39289,                0.92735,                  0.966,                0.98611,                 0.9907,                0.86214,                0.56633,                0.38612,                0.89251,              0.0005744,              0.0005744,              0.0005744
                     75,                0.56133,                0.37378,                 0.9259,                0.97726,                0.98611,                0.98984,                0.86757,                0.55523,                0.39615,                0.88331,              0.0005546,              0.0005546,              0.0005546
                     76,                0.54094,                0.36499,                0.92786,                0.98611,                 0.9859,                0.98725,                0.85966,                0.58155,                0.39456,                0.89792,              0.0005348,              0.0005348,              0.0005348
                     77,                0.54123,                0.36259,                 0.9149,                0.98595,                0.97485,                0.98604,                0.85155,                0.58309,                0.38749,                0.88472,               0.000515,               0.000515,               0.000515
                     78,                0.54943,                0.35658,                 0.9194,                0.98588,                0.96958,                 0.9883,                 0.8506,                0.60197,                0.39735,                0.89143,              0.0004952,              0.0004952,              0.0004952
                     79,                0.53674,                 0.3648,                0.92089,                0.98588,                0.96987,                0.98953,                0.87936,                0.54021,                0.36286,                0.87686,              0.0004754,              0.0004754,              0.0004754
                     80,                0.52271,                 0.3479,                0.89674,                 0.9859,                0.97135,                0.99137,                0.87833,                 0.5529,                0.37691,                0.87813,              0.0004556,              0.0004556,              0.0004556
                     81,                0.52459,                0.33793,                0.90112,                0.98189,                0.98611,                0.99267,                0.87299,                0.56214,                 0.3604,                0.87217,              0.0004358,              0.0004358,              0.0004358
                     82,                  0.556,                0.35712,                0.93457,                 0.9861,                0.98543,                0.99236,                0.87417,                0.57198,                 0.3472,                0.87415,               0.000416,               0.000416,               0.000416
                     83,                0.51452,                0.33897,                0.90278,                 0.9838,                0.95833,                0.99103,                0.87673,                 0.5719,                0.36861,                 0.8826,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.5031,                0.34427,                0.90462,                0.98265,                0.95833,                 0.9889,                0.87852,                0.56572,                0.35808,                0.87814,              0.0003764,              0.0003764,              0.0003764
                     85,                0.51712,                0.34855,                0.90504,                 0.9827,                0.95833,                0.98932,                0.88214,                0.55551,                0.34519,                0.87575,              0.0003566,              0.0003566,              0.0003566
                     86,                0.52632,                0.33452,                0.91177,                0.98264,                0.95833,                0.99029,                0.88082,                0.54611,                0.35487,                  0.872,              0.0003368,              0.0003368,              0.0003368
                     87,                0.50043,                0.35335,                 0.8977,                0.98591,                0.97208,                0.99062,                0.86982,                0.57823,                0.38383,                0.88296,               0.000317,               0.000317,               0.000317
                     88,                0.48906,                0.31819,                0.90633,                0.98401,                0.95833,                0.99024,                0.86625,                0.55271,                0.38955,                0.87395,              0.0002972,              0.0002972,              0.0002972
                     89,                0.49313,                0.33147,                0.88144,                0.98026,                0.95833,                 0.9906,                0.87222,                0.56166,                0.38149,                0.87474,              0.0002774,              0.0002774,              0.0002774
                     90,                 0.5294,                0.35178,                0.90835,                0.98171,                0.95833,                0.99025,                0.87376,                0.56123,                0.37848,                0.87325,              0.0002576,              0.0002576,              0.0002576
                     91,                0.44706,                0.29622,                0.84974,                0.98247,                0.95833,                0.99048,                0.87571,                0.55674,                0.35106,                0.87235,              0.0002378,              0.0002378,              0.0002378
                     92,                0.44556,                0.28831,                0.85088,                0.98588,                0.96944,                0.99072,                0.88206,                0.55071,                0.35322,                0.86898,               0.000218,               0.000218,               0.000218
                     93,                0.42381,                 0.2799,                0.83113,                0.98415,                0.97222,                 0.9907,                0.88168,                0.54617,                0.35591,                0.86835,              0.0001982,              0.0001982,              0.0001982
                     94,                0.43437,                0.28217,                 0.8541,                0.98416,                0.97222,                0.99099,                0.87579,                 0.5536,                0.34842,                0.86789,              0.0001784,              0.0001784,              0.0001784
                     95,                0.43506,                0.27127,                0.84127,                0.98408,                0.97222,                0.99113,                0.86863,                 0.5592,                 0.3384,                0.87153,              0.0001586,              0.0001586,              0.0001586
                     96,                0.43199,                0.27617,                 0.8441,                0.98435,                0.97222,                0.99165,                0.86809,                0.55621,                0.32816,                0.87269,              0.0001388,              0.0001388,              0.0001388
                     97,                0.41238,                0.27182,                0.82333,                0.97189,                0.96059,                 0.9915,                0.87887,                0.54591,                0.31688,                0.87139,               0.000119,               0.000119,               0.000119
                     98,                0.41295,                0.26962,                0.83571,                0.98287,                0.97222,                0.99173,                0.87722,                0.54177,                0.31231,                0.86789,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.41146,                0.26299,                0.83003,                0.98407,                0.97222,                0.99152,                0.87417,                0.53823,                0.31304,                0.86547,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.39811,                0.26677,                0.82385,                0.98457,                0.97222,                0.99202,                0.88747,                0.54037,                0.30751,                0.86491,               5.96e-05,               5.96e-05,               5.96e-05
