                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80332,                 2.8016,                 1.0342,                      1,                0.10629,                0.85421,                0.65976,                0.74479,                 3.2392,                0.87706,                 0.0003,                 0.0003,                 0.0003
                      2,                0.87917,                 1.6735,                 1.0316,                      1,                0.17129,                0.48652,                0.34282,                0.92013,                 3.7825,                 1.0895,             0.00061386,             0.00061386,             0.00061386
                      3,                0.88384,                 1.5221,                 1.0526,                0.90579,                  0.625,                0.81667,                0.60431,                 0.8764,                 2.8224,                0.96945,             0.00092139,             0.00092139,             0.00092139
                      4,                0.89631,                 1.4375,                 1.0519,                0.88909,                0.44536,                0.61393,                0.42094,                 1.0077,                 3.4918,                  1.067,              0.0012226,              0.0012226,              0.0012226
                      5,                0.90976,                 1.3641,                 1.0614,                0.11999,                0.13889,                 0.0919,                0.02116,                 1.3942,                 4.6128,                 1.5053,              0.0015174,              0.0015174,              0.0015174
                      6,                 1.0112,                 1.3773,                 1.1056,                0.07584,                0.20833,                0.05222,                0.01881,                 1.5147,                  14.88,                 1.5883,               0.001806,               0.001806,               0.001806
                      7,                0.90943,                 1.2695,                 1.0695,                0.56024,                0.52778,                0.53148,                0.38611,                0.96375,                 2.6393,                 1.0261,              0.0018812,              0.0018812,              0.0018812
                      8,                0.91538,                 1.1035,                 1.0527,                0.62067,                0.47222,                0.54636,                0.42909,                0.90882,                  2.137,                   1.09,              0.0018812,              0.0018812,              0.0018812
                      9,                0.91698,                 1.1334,                  1.048,                0.70361,                0.59722,                 0.6808,                0.49012,                0.87071,                 1.6174,                 1.0227,              0.0018614,              0.0018614,              0.0018614
                     10,                0.89559,                 1.0837,                 1.0598,                 0.7149,                0.59722,                0.69038,                 0.5488,                0.76173,                 1.6423,                0.96842,              0.0018416,              0.0018416,              0.0018416
                     11,                0.90466,                0.99347,                 1.0518,                0.90965,                0.76389,                0.89766,                0.66802,                0.90457,                 1.2359,                 1.0651,              0.0018218,              0.0018218,              0.0018218
                     12,                 0.8285,                0.92203,                 1.0115,                0.94071,                0.88889,                0.94033,                0.74509,                0.79113,                 1.2143,                0.97964,               0.001802,               0.001802,               0.001802
                     13,                0.85227,                0.86918,                 1.0462,                0.93219,                0.91667,                0.96802,                0.77467,                0.73407,                0.96867,                0.95679,              0.0017822,              0.0017822,              0.0017822
                     14,                0.86339,                0.85345,                 1.0433,                0.93852,                0.84816,                0.93197,                0.73538,                0.72554,                0.95646,                0.94588,              0.0017624,              0.0017624,              0.0017624
                     15,                0.85372,                0.83209,                 1.0296,                0.82343,                0.80556,                0.86689,                 0.6843,                 0.7855,                 1.1003,                0.98697,              0.0017426,              0.0017426,              0.0017426
                     16,                0.81451,                0.75427,                  1.012,                0.86784,                0.91203,                0.93247,                0.70382,                 0.7862,                 1.1316,                0.96098,              0.0017228,              0.0017228,              0.0017228
                     17,                0.81836,                0.72141,                 1.0062,                0.91077,                0.85066,                0.92448,                0.70616,                0.80636,                0.99585,                0.96854,               0.001703,               0.001703,               0.001703
                     18,                0.86232,                0.72488,                 1.0349,                0.85697,                   0.75,                0.86866,                0.66146,                0.78007,                0.99137,                0.99152,              0.0016832,              0.0016832,              0.0016832
                     19,                 0.8204,                0.69655,                 1.0364,                 0.9276,                0.88972,                0.94677,                0.77307,                0.70113,                0.78707,                0.96335,              0.0016634,              0.0016634,              0.0016634
                     20,                0.82162,                0.69837,                 1.0153,                0.92568,                  0.865,                0.94044,                 0.7328,                0.77792,                0.80373,                0.97302,              0.0016436,              0.0016436,              0.0016436
                     21,                0.76603,                0.65772,                0.97918,                0.95322,                0.88889,                0.95464,                0.78501,                0.73502,                0.69897,                  0.968,              0.0016238,              0.0016238,              0.0016238
                     22,                0.76194,                0.67011,                0.99334,                0.95844,                0.88889,                0.96651,                0.76179,                0.70273,                0.79542,                0.94667,               0.001604,               0.001604,               0.001604
                     23,                0.75179,                0.63191,                  1.001,                0.95128,                0.88889,                0.96894,                 0.7939,                0.66419,                 0.7199,                0.91932,              0.0015842,              0.0015842,              0.0015842
                     24,                0.77269,                 0.6814,                0.99358,                0.95421,                0.90278,                0.96897,                0.77402,                0.73525,                0.69011,                0.94788,              0.0015644,              0.0015644,              0.0015644
                     25,                 0.7574,                0.61261,                 1.0038,                0.95623,                0.91037,                0.97765,                0.80457,                0.69433,                0.66898,                0.93299,              0.0015446,              0.0015446,              0.0015446
                     26,                0.75691,                0.58483,                 0.9954,                0.96841,                0.85171,                0.97292,                0.79473,                0.68371,                0.56242,                0.92524,              0.0015248,              0.0015248,              0.0015248
                     27,                0.73096,                0.57169,                0.98982,                0.95115,                0.91667,                 0.9734,                0.81059,                0.67857,                0.59199,                0.91325,               0.001505,               0.001505,               0.001505
                     28,                0.72818,                0.57182,                0.97344,                0.96713,                0.94444,                0.97703,                0.82929,                0.63452,                0.53825,                0.90814,              0.0014852,              0.0014852,              0.0014852
                     29,                0.70643,                0.53654,                0.96329,                0.94354,                0.97222,                0.98053,                0.81636,                0.66994,                0.60815,                0.91946,              0.0014654,              0.0014654,              0.0014654
                     30,                0.70253,                0.55199,                0.97878,                0.98452,                0.88356,                 0.9657,                0.81179,                0.65484,                0.69105,                0.92334,              0.0014456,              0.0014456,              0.0014456
                     31,                0.74693,                0.56385,                0.98019,                0.97052,                0.91455,                0.97821,                0.82798,                0.62346,                 0.5862,                0.90412,              0.0014258,              0.0014258,              0.0014258
                     32,                0.74692,                0.56715,                0.98073,                0.97659,                0.97222,                0.98213,                0.79761,                0.67381,                0.61678,                0.91068,               0.001406,               0.001406,               0.001406
                     33,                0.70172,                0.52526,                0.96859,                      1,                0.96649,                0.98211,                0.80934,                0.61015,                0.49451,                0.88217,              0.0013862,              0.0013862,              0.0013862
                     34,                 0.7251,                0.53298,                0.97091,                0.97074,                0.92156,                0.97282,                0.79901,                0.67396,                0.57808,                0.93071,              0.0013664,              0.0013664,              0.0013664
                     35,                0.67901,                0.49961,                0.97462,                0.93042,                0.92864,                 0.9692,                 0.7912,                0.70806,                0.56465,                0.94255,              0.0013466,              0.0013466,              0.0013466
                     36,                0.69272,                0.51115,                0.95135,                0.98526,                0.92825,                0.97681,                0.78875,                0.74217,                0.56328,                0.95782,              0.0013268,              0.0013268,              0.0013268
                     37,                0.66339,                0.51079,                0.96193,                0.98226,                0.95833,                0.97216,                0.82669,                0.62435,                0.51027,                0.90811,               0.001307,               0.001307,               0.001307
                     38,                0.72042,                0.53165,                0.97522,                0.94547,                0.98611,                0.98418,                0.84069,                0.62655,                0.47864,                0.90745,              0.0012872,              0.0012872,              0.0012872
                     39,                0.69301,                0.50128,                0.96105,                0.97139,                0.95833,                0.98253,                0.82818,                0.61186,                0.53075,                0.89691,              0.0012674,              0.0012674,              0.0012674
                     40,                0.67943,                0.49554,                0.95277,                0.95798,                0.94999,                0.97013,                0.83169,                0.62889,                0.55449,                0.90959,              0.0012476,              0.0012476,              0.0012476
                     41,                0.65759,                0.50242,                0.96167,                0.98075,                0.95833,                0.96968,                0.82381,                0.63825,                0.55306,                0.92518,              0.0012278,              0.0012278,              0.0012278
                     42,                0.68948,                0.49864,                0.96642,                0.96854,                0.95833,                0.98022,                0.82431,                0.64317,                0.52789,                0.92173,               0.001208,               0.001208,               0.001208
                     43,                0.65578,                0.48464,                0.94777,                0.96478,                0.95833,                0.98136,                0.82046,                0.59886,                0.48707,                 0.9091,              0.0011882,              0.0011882,              0.0011882
                     44,                0.66338,                0.48619,                 0.9507,                0.99961,                0.95833,                0.98247,                0.82432,                0.62241,                0.51002,                0.92101,              0.0011684,              0.0011684,              0.0011684
                     45,                0.66909,                0.47985,                0.96865,                0.98471,                0.95833,                0.98102,                0.84503,                0.58883,                0.49595,                0.88893,              0.0011486,              0.0011486,              0.0011486
                     46,                0.66031,                0.47704,                0.96258,                0.99128,                0.95833,                0.97815,                0.85149,                 0.6112,                0.44668,                0.90186,              0.0011288,              0.0011288,              0.0011288
                     47,                0.64182,                0.45425,                0.95499,                0.99203,                0.95833,                0.97683,                0.85603,                0.60789,                0.50398,                0.89069,               0.001109,               0.001109,               0.001109
                     48,                  0.658,                0.47395,                0.96327,                0.99678,                0.95833,                0.99067,                0.85124,                0.64571,                0.43313,                0.89447,              0.0010892,              0.0010892,              0.0010892
                     49,                0.66471,                0.47142,                 0.9538,                      1,                0.94426,                0.98871,                0.82937,                0.64319,                0.47054,                0.90616,              0.0010694,              0.0010694,              0.0010694
